"","x"
"482",3
"483",3
"484",3
"485",3
"486",1
"487",1
"488",1
"489",1
"490",3
"491",3
"492",3
"493",3
"494",3
"495",1
"496",2
"497",3
"498",3
"499",3
"500",3
"501",3
"502",3
"503",1
"504",3
"505",1
"506",3
"507",2
"508",1
"509",3
"510",3
"511",2
"512",3
"513",3
"514",1
"515",3
"516",3
"517",3
"518",3
"519",2
"520",3
"521",3
"522",1
"523",2
"524",1
"525",3
"526",3
"527",1
"528",1
"529",1
"530",3
"531",3
"532",3
"533",3
"534",1
"535",1
"536",2
"537",3
"538",1
"539",3
"540",1
"541",1
"542",1
"543",1
"544",1
"545",3
"546",3
"547",3
"548",3
"549",3
"550",3
"551",1
"552",3
"553",3
"554",1
"555",3
"556",1
"557",3
"558",3
"559",3
"560",1
"561",1
"562",2
"563",3
"564",3
"565",1
"566",3
"567",3
"568",3
"569",3
"570",3
"571",1
"572",3
"573",1
"574",3
"575",3
"576",3
"577",1
"578",3
"579",1
"580",3
"581",3
"582",1
"583",1
"584",1
"585",1
"586",1
"587",3
"588",1
"589",1
"590",3
"591",1
"592",1
"593",1
"594",1
"595",1
"596",1
"597",3
"598",3
"599",3
"600",3
"601",1
"602",3
"603",3
"604",3
"605",1
"606",3
"607",3
"608",3
"609",1
"610",3
"611",3
"612",1
"613",2
"614",3
"615",3
"616",1
"617",2
"618",1
"619",3
"620",1
"621",1
"622",3
"623",1
"624",3
"625",3
"626",3
"627",3
"628",3
"629",3
"630",1
"631",3
"632",3
"633",1
"634",3
"635",3
"636",1
"637",1
"638",3
"639",3
"640",1
"641",3
"642",3
"643",2
"644",1
"645",1
"646",3
"647",1
"648",1
"649",1
"650",2
"651",3
"652",1
"653",3
"654",3
"655",1
"656",3
"657",3
"658",3
"659",3
"660",3
"661",3
"662",3
"663",1
"664",3
"665",1
"666",1
"667",3
"668",1
"669",3
"670",3
"671",3
"672",3
"673",3
"674",1
"675",3
"676",1
"677",3
"678",3
"679",3
"680",3
"681",1
"682",3
"683",3
"684",3
"685",3
"686",3
"687",1
"688",3
"689",3
"690",1
"691",3
"692",1
"693",3
"694",1
"695",3
"696",3
"697",3
"698",3
"699",3
"700",3
"701",3
"702",2
"703",3
"704",3
"705",3
"706",1
"707",1
"708",1
"709",1
"710",1
"711",1
"712",1
"713",1
"714",1
"715",2
"716",1
"717",1
"718",3
"719",1
"720",1
"721",1
"722",3
"723",1
"724",1
"725",1
"726",1
"727",2
"728",3
"729",3
"730",3
"731",3
"732",3
"733",3
"734",3
"735",3
"736",3
"737",3
"738",3
"739",3
"740",3
"741",2
"742",3
"743",2
"744",3
"745",1
"746",1
"747",1
"748",3
"749",3
"750",1
"751",3
"752",1
"753",1
"754",1
"755",3
"756",3
"757",3
"758",3
"759",3
"760",3
"761",1
"762",3
"763",3
"764",3
"765",3
"766",3
"767",3
"768",3
"769",3
"770",3
"771",1
"772",1
"773",1
"774",3
"775",1
"776",1
"777",1
"778",2
"779",3
"780",3
"781",3
"782",1
"783",3
"784",3
"785",3
"786",3
"787",3
"788",3
"789",3
"790",3
"791",3
"792",3
"793",1
"794",1
"795",3
"796",1
"797",1
"798",1
"799",2
"800",1
"801",3
"802",1
"803",1
"804",2
"805",1
"806",1
"807",3
"808",1
"809",3
"810",1
"811",1
"812",2
"813",1
"814",1
"815",1
"816",1
"817",1
"818",1
"819",3
"820",3
"821",3
"822",3
"823",3
"824",1
"825",1
"826",3
"827",1
"828",1
"829",1
"830",3
"831",2
"832",1
"833",3
"834",1
"835",1
"836",3
"837",1
"838",1
"839",1
"840",1
"841",1
"842",1
"843",2
"844",1
"845",1
"846",1
"847",3
"848",2
"849",1
"850",3
"851",3
"852",3
"853",1
"854",2
"855",3
"856",3
"857",3
"858",3
"859",3
"860",2
"861",3
"862",3
"863",3
"864",3
"865",3
"866",2
"867",1
"868",1
"869",1
"870",1
"871",3
"872",1
"873",3
"874",3
"875",3
"876",3
"877",3
"878",1
"879",1
"880",3
"881",3
"882",3
"883",2
"884",3
"885",3
"886",3
"887",3
"888",3
"889",1
"890",3
"891",3
"892",1
"893",3
"894",3
"895",3
"896",3
"897",2
"898",1
"899",1
"900",1
"901",3
"902",3
"903",1
"904",1
"905",2
"906",3
"907",1
"908",1
"909",1
"910",1
"911",1
"912",3
"913",3
"914",1
"915",2
"916",3
"917",3
"918",3
"919",3
"920",1
"921",3
"922",3
"923",1
"924",3
"925",3
"926",1
"927",1
"928",1
"929",3
"930",1
"931",3
"932",3
"933",3
"934",1
"935",3
"936",1
"937",3
"938",3
"939",3
"940",3
"941",3
"942",3
"943",1
"944",3
"945",3
"946",3
"947",1
"948",3
"949",3
"950",3
"951",1
"952",2
"953",3
"954",3
"955",1
"956",1
"957",1
"958",1
"959",3
"960",3
"961",3
"962",1
"963",1
"964",1
"965",1
"966",1
"967",3
"968",3
"969",3
"970",1
"971",3
"972",1
"973",3
"974",3
"975",3
"976",3
"977",1
"978",1
"979",3
"980",3
"981",3
"982",3
"983",1
"984",3
"985",2
"986",3
"987",1
"988",1
"989",3
"990",1
"991",2
"992",1
"993",1
"994",1
"995",1
"996",1
"997",1
"998",3
"999",1
"1000",1
"1001",3
"1002",1
"1003",3
"1004",3
"1005",3
"1006",3
"1007",3
"1008",3
"1009",3
"1010",2
"1011",3
"1012",3
"1013",1
"1014",3
"1015",3
"1016",1
"1017",1
"1018",1
"1019",3
"1020",3
"1021",1
"1022",3
"1023",3
"1024",1
"1025",1
"1026",1
"1027",1
"1028",3
"1029",3
"1030",1
"1031",1
"1032",2
"1033",2
"1034",3
"1035",1
"1036",3
"1037",3
"1038",1
"1039",3
"1040",1
"1041",1
"1042",1
"1043",1
"1044",1
"1045",1
"1046",1
"1047",1
"1048",3
"1049",3
"1050",2
"1051",1
"1052",1
"1053",3
"1054",3
"1055",1
"1056",3
"1057",3
"1058",3
"1059",3
"1060",3
"1061",3
"1062",3
"1063",3
"1064",3
"1065",3
"1066",3
"1067",1
"1068",3
"1069",3
"1070",1
"1071",1
"1072",1
"1073",1
"1074",1
"1075",1
"1076",1
"1077",1
"1078",1
"1079",1
"1080",1
"1081",1
"1082",1
"1083",1
"1084",1
"1085",1
"1086",1
"1087",1
"1088",1
"1089",1
"1090",1
"1091",1
"1092",1
"1093",1
"1094",1
"1095",2
"1096",1
"1097",1
"1098",3
"1099",1
"1100",1
"1101",1
"1102",1
"1103",1
"1104",1
"1105",1
"1106",1
"1107",1
"1108",3
"1109",1
"1110",1
"1111",3
"1112",1
"1113",1
"1114",3
